school_name,applications,acceptances,per_pupil_spending,avg_class_size,asian_percent,black_percent,hispanic_percent,multiple_percent,white_percent,rigorous_instruction,collaborative_teachers,supportive_environment,effective_school_leadership,strong_family_community_ties,trust,disability_percent,poverty_percent,ESL_percent,school_size,student_achievement,reading_scores_exceed,math_scores_exceed
I.S. 318 EUGENIO MARIA DE HOSTOS,222,27,17551.0,26.75,8.2,16.8,61.1,1.0,13.0,4.04,3.85,3.75,3.94,3.51,3.86,18.3,65.4,7.6,1249.0,2.02,0.57,0.5
CONSELYEA PREPARATORY SCHOOL,90,7,17960.0,33.2,1.8,4.6,56.4,0.2,37.1,4.78,4.59,4.06,4.19,3.95,3.93,19.1,52.8,3.0,502.0,2.59,0.65,0.57
M.S. 582,0,0,23730.0,18.13,1.9,23.8,69.4,1.5,3.4,4.14,4.06,4.16,4.41,3.72,4.23,33.6,82.3,13.2,265.0,4.01,0.3,0.21
LYONS COMMUNITY SCHOOL,6,0,19024.0,19.5,1.0,37.1,59.3,0.0,2.6,3.61,3.95,2.85,4.24,3.86,4.2,24.8,89.3,13.5,496.0,1.63,0.29,0.19
YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,0,0,18186.0,18.47,3.4,48.5,39.9,3.0,5.2,3.4,2.68,3.71,3.64,4.31,3.28,18.2,77.1,7.9,406.0,2.44,0.46,0.32
M.S. 51 WILLIAM ALEXANDER,280,122,16145.0,25.36,16.4,7.6,20.4,4.7,51.0,3.56,3.81,4.03,3.83,3.1,3.31,17.7,28.7,2.2,1136.0,4.05,0.83,0.83
J.H.S. 088 PETER ROUGET,163,20,20927.0,23.19,19.6,11.0,56.5,0.9,11.9,4.58,4.24,3.64,4.34,2.79,3.27,24.6,80.5,12.7,1350.0,3.13,0.5,0.44
I.S. 136 CHARLES O. DEWEY,18,1,23921.0,23.19,7.6,2.7,81.2,0.4,8.0,3.6,4.37,3.84,4.18,3.06,4.13,23.1,97.3,39.8,485.0,2.79,0.25,0.18
M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,25,2,30895.0,17.55,5.4,20.9,39.3,0.8,33.5,4.01,4.32,3.51,3.3,3.83,3.4,38.5,49.4,3.8,239.0,3.37,0.54,0.47
NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,94,19,17671.0,29.5,4.9,7.4,32.8,2.8,52.0,4.78,4.38,4.09,3.81,3.49,3.79,21.0,30.3,1.4,567.0,4.4,0.74,0.64
THE MATH & SCIENCE EXPLORATORY SCHOOL,134,51,22688.0,25.7,9.5,11.4,20.1,3.8,55.3,4.13,4.37,4.17,3.8,4.31,3.95,21.4,20.1,0.9,528.0,4.39,0.84,0.83
BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,6,0,20974.0,15.23,2.8,37.4,45.5,2.3,11.9,4.04,4.15,3.22,3.01,3.89,3.65,32.3,68.1,6.6,681.0,3.41,0.36,0.32
PARK SLOPE COLLEGIATE,21,1,20298.0,17.23,4.4,35.0,39.4,3.1,18.0,4.16,3.99,3.26,3.51,3.89,3.23,22.0,66.8,6.7,654.0,2.7,0.58,0.46
THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES,32,6,19852.0,13.12,4.4,34.5,25.5,6.0,29.6,3.82,4.0,3.29,3.89,3.72,3.64,23.3,56.6,9.5,632.0,2.81,0.61,0.52
SUNSET PARK PREP,53,2,18470.0,25.14,2.9,26.2,36.2,1.4,2.5,3.46,3.52,3.92,3.5,2.06,3.99,20.75,82.85,8.7,537.5,3.98,0.41,0.36
M.S. 839,36,7,20147.0,22.05,13.5,15.3,24.2,5.5,41.4,3.82,3.71,3.81,3.61,3.92,3.5,29.4,42.9,5.2,326.0,2.93,0.64,0.58
M.S. 035 STEPHEN DECATUR,27,2,25636.0,26.08,1.6,85.3,11.0,0.4,1.6,4.16,4.05,4.16,4.82,4.83,4.74,31.8,85.3,2.9,245.0,3.06,0.29,0.19
J.H.S. 057 WHITELAW REID,9,0,26468.0,17.75,3.0,63.3,30.7,0.5,2.5,4.49,4.07,3.21,2.78,3.34,3.48,35.7,93.5,9.0,199.0,3.53,0.31,0.17
"M.S. 267 MATH, SCIENCE & TECHNOLOGY",19,1,25524.0,20.64,0.7,71.9,19.9,6.0,1.5,3.96,3.83,2.93,4.37,3.69,4.08,35.2,87.3,5.2,267.0,3.59,0.32,0.21
P.S. 308 CLARA CARDWELL,8,0,26759.0,16.58,2.5,76.4,18.5,1.5,1.1,2.96,3.45,2.36,3.77,3.37,3.44,26.5,88.7,5.1,275.0,2.3,0.24,0.18
MADIBA PREP MIDDLE SCHOOL,20,1,21968.0,18.33,1.9,73.0,22.0,0.6,2.5,3.63,3.16,3.19,3.19,4.45,3.58,31.4,86.8,8.8,159.0,1.98,0.37,0.23
PARKSIDE PREPARATORY ACADEMY,69,2,19400.0,20.83,3.9,78.1,13.4,2.2,2.4,3.63,3.72,4.27,4.43,3.77,3.76,16.6,88.8,10.1,493.0,3.8,0.34,0.23
M.S. 061 DR. GLADSTONE H. ATWELL,96,2,19469.0,22.2,2.5,86.8,9.2,0.6,1.0,3.55,2.64,2.64,3.5,3.51,2.7,19.2,69.8,5.8,725.0,2.52,0.42,0.33
P.S. 138 BROOKLYN,23,1,21886.0,21.13,1.6,79.5,13.1,1.1,4.8,4.74,4.04,3.68,4.31,4.78,4.57,18.2,92.0,8.3,565.0,4.17,0.49,0.45
P.S. 181 BROOKLYN,28,2,18877.0,24.28,1.0,84.0,10.0,2.3,2.6,2.65,2.93,3.27,3.12,3.03,3.56,19.7,74.3,13.9,689.0,3.3,0.32,0.28
P.S. 189 THE BILINGUAL CENTER,49,2,16524.0,23.76,3.5,69.5,24.8,0.9,1.2,4.13,4.59,3.63,4.29,2.7,3.88,13.8,92.1,19.4,1054.0,4.27,0.54,0.55
M.S. 246 WALT WHITMAN,24,1,22880.0,18.27,1.0,73.4,20.1,0.7,4.8,3.31,3.32,3.33,3.36,3.28,3.89,22.3,85.2,30.3,413.0,4.3,0.21,0.15
I.S. 340,35,2,18806.0,26.33,0.9,78.1,17.0,3.1,0.9,3.66,3.36,3.17,3.34,3.75,3.46,21.4,79.5,0.4,224.0,3.36,0.53,0.42
EBBETS FIELD MIDDLE SCHOOL,9,0,23702.0,13.55,9.0,61.1,25.7,0.0,4.2,3.57,3.45,3.41,3.52,3.87,3.14,28.7,98.2,22.2,167.0,3.42,0.22,0.15
ELIJAH STROUD MIDDLE SCHOOL,6,0,20187.0,21.92,2.1,78.1,17.8,0.7,1.4,3.61,3.49,3.55,3.63,3.88,3.74,37.7,94.5,6.8,146.0,2.96,0.27,0.21
THE SCHOOL OF INTEGRATED LEARNING,18,0,24168.0,18.46,2.8,81.1,15.0,1.2,0.0,4.94,4.7,4.32,4.94,4.51,4.76,24.0,91.7,7.5,254.0,4.57,0.34,0.22
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,15,0,17966.0,12.37,1.4,76.3,13.5,6.9,1.9,2.86,3.54,3.07,3.33,2.73,2.51,14.9,77.5,14.2,422.0,1.71,0.37,0.26
M.S. K394,12,0,17512.0,24.27,8.0,72.1,18.4,0.6,0.8,2.97,3.06,2.92,3.51,1.97,3.52,13.8,87.6,6.1,477.0,2.26,0.4,0.36
RONALD EDMONDS LEARNING CENTER II,7,0,27077.0,16.22,0.0,74.8,22.0,1.9,1.3,3.87,4.9,4.16,4.37,4.74,4.95,27.0,88.7,5.0,159.0,4.22,0.28,0.15
"SCHOOL FOR HUMAN RIGHTS, THE",0,0,20149.0,11.08,1.1,89.8,6.1,0.9,2.0,3.56,3.66,3.67,4.05,3.08,3.61,20.6,83.7,5.4,441.0,3.99,0.31,0.18
"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",20,1,16142.0,23.13,4.4,80.0,11.8,2.4,1.3,4.13,4.77,4.37,4.17,3.89,3.91,13.9,75.8,0.9,541.0,4.15,0.63,0.51
MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,15,1,14356.0,39.0,2.3,88.0,4.8,4.1,0.9,3.66,3.73,3.31,3.61,3.62,3.64,7.3,67.1,0.2,1257.0,3.71,0.9,0.88
NEW HEIGHTS MIDDLE SCHOOL,13,0,21647.0,21.18,0.4,83.8,10.7,1.3,3.8,3.21,3.09,3.83,3.37,3.58,3.17,30.8,86.8,6.0,234.0,2.9,0.29,0.18
P.S. 66,37,2,17340.0,27.75,0.7,87.2,7.9,1.6,2.6,3.45,3.86,3.27,3.88,3.6,3.37,11.2,71.5,2.9,822.0,2.6,0.52,0.48
I.S. 068 ISAAC BILDERSEE,16,1,20549.0,18.87,2.7,83.2,7.1,0.9,6.2,4.6,4.5,3.09,3.58,3.08,3.84,28.3,82.3,21.5,339.0,3.35,0.22,0.15
I.S. 211 JOHN WILSON,36,2,22692.0,20.09,1.3,86.8,8.6,1.3,1.9,3.95,3.34,3.14,2.97,2.64,2.88,25.9,83.9,6.1,522.0,3.5,0.33,0.2
P.S. 235 JANICE MARIE KNIGHT SCHOOL,89,7,16556.0,26.83,1.3,92.8,2.4,2.0,1.5,3.27,2.92,3.15,3.33,3.72,3.65,8.2,71.5,1.4,1254.0,3.48,0.73,0.74
I.S. 285 MEYER LEVIN,45,2,18095.0,20.77,0.6,93.8,3.5,1.1,1.1,3.63,3.95,2.64,3.55,2.79,3.49,19.2,78.1,3.9,666.0,3.64,0.35,0.22
THE SCIENCE AND MEDICINE MIDDLE SCHOOL,42,2,22318.0,22.88,0.8,89.0,7.5,0.8,2.0,2.94,2.98,2.49,3.47,3.98,3.01,20.6,81.5,2.0,399.0,2.94,0.37,0.23
EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,18,1,23191.0,20.08,0.0,87.8,7.6,0.8,3.8,3.08,2.89,3.92,3.89,4.57,3.79,26.0,91.6,11.5,131.0,3.67,0.22,0.15
MIDDLE SCHOOL FOR ART AND PHILOSOPHY,11,0,21936.0,17.37,0.6,87.0,8.5,1.7,2.3,3.35,3.45,3.41,3.62,3.39,3.55,31.6,91.5,7.3,177.0,3.58,0.26,0.15
MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES,17,1,20605.0,17.33,4.6,87.0,3.1,1.5,3.8,3.66,3.73,3.51,3.61,3.62,3.64,19.1,88.5,13.7,131.0,3.41,0.23,0.15
BROOKLYN SCIENCE AND ENGINEERING ACADEMY,34,2,20147.0,22.05,0.4,93.0,3.9,1.2,1.6,4.49,4.05,3.94,4.82,4.17,4.46,17.1,76.7,3.1,257.0,3.32,0.49,0.36
P.S. 089 CYPRESS HILLS,17,1,21960.0,21.24,0.9,3.1,94.5,1.5,0.0,3.34,4.26,3.67,4.15,4.19,3.85,23.4,92.8,44.6,457.0,2.98,0.29,0.27
I.S. 171 ABRAHAM LINCOLN,11,0,20088.0,20.0,7.2,8.3,81.1,2.0,1.4,2.95,3.75,3.84,3.63,3.65,4.01,18.7,98.2,26.8,444.0,2.73,0.35,0.24
J.H.S. 218 JAMES P. SINNOTT,23,2,22923.0,20.33,17.1,35.7,42.5,2.4,2.2,2.88,3.67,2.61,3.22,3.01,3.64,25.2,92.9,25.2,409.0,3.37,0.2,0.15
J.H.S. 292 MARGARET S. DOUGLAS,81,9,18982.0,22.03,16.8,48.5,30.0,1.8,3.0,3.33,3.16,2.51,3.57,2.38,3.39,24.5,93.7,14.6,567.0,4.12,0.3,0.21
I.S. 364 GATEWAY,21,1,22663.0,21.71,1.4,64.3,31.1,0.6,2.6,2.79,3.19,2.62,3.49,3.28,2.9,28.0,80.6,1.4,350.0,2.89,0.32,0.21
ACADEMY FOR YOUNG WRITERS,7,0,18399.0,23.43,0.7,70.1,26.6,1.5,1.1,3.29,3.06,3.38,3.44,3.73,3.28,20.1,84.1,2.6,546.0,2.35,0.39,0.27
EAST NEW YORK FAMILY ACADEMY,10,0,18686.0,23.4,3.2,62.9,31.3,1.8,0.8,3.66,4.25,3.47,4.4,3.89,3.73,22.2,87.1,3.8,496.0,3.88,0.42,0.33
SPRING CREEK COMMUNITY SCHOOL,6,0,24283.0,16.9,1.3,73.8,21.3,2.3,1.3,3.71,4.05,3.63,4.12,4.1,3.07,25.5,82.2,2.9,478.0,3.46,0.31,0.2
FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,52,2,20726.0,22.62,5.7,71.1,20.5,0.6,2.1,4.48,4.23,3.9,4.47,4.48,3.94,18.2,86.3,2.1,336.0,2.55,0.51,0.4
VAN SICLEN COMMUNITY MIDDLE SCHOOL,15,1,23994.0,16.86,1.7,70.7,22.2,1.3,4.0,3.64,3.89,3.5,4.63,4.02,4.39,35.0,94.6,11.8,297.0,3.26,0.21,0.15
VISTA ACADEMY,24,1,25266.0,22.8,5.1,23.9,65.4,3.5,2.1,3.62,3.73,3.76,3.95,3.59,3.71,19.7,97.4,9.5,431.0,2.8,0.48,0.37
LIBERTY AVENUE MIDDLE SCHOOL,12,0,23704.0,23.33,4.7,19.7,71.2,2.6,1.7,4.44,3.56,3.91,3.77,3.64,4.11,21.9,96.1,17.6,466.0,2.88,0.37,0.29
SCHOOL OF THE FUTURE BROOKLYN,12,0,26395.0,25.33,1.5,65.7,30.3,1.0,1.5,1.97,2.37,2.58,2.57,3.64,3.18,25.9,92.5,10.4,201.0,2.16,0.21,0.15
EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,16,1,23649.0,20.17,2.8,57.7,37.5,0.0,2.0,3.15,3.56,3.12,3.77,4.49,4.21,27.7,90.5,10.3,253.0,3.03,0.25,0.17
HIGHLAND PARK COMMUNITY SCHOOL,10,0,20147.0,22.05,2.8,16.9,76.2,3.1,0.9,3.03,3.42,3.21,3.54,3.38,3.81,19.7,93.7,12.5,319.0,1.96,0.44,0.33
P.S./I.S. 30 MARY WHITE OVINGTON,51,6,17715.0,30.91,23.5,1.5,30.2,1.0,43.8,4.04,4.19,3.68,3.33,3.74,3.76,20.3,80.0,22.9,911.0,3.41,0.58,0.59
J.H.S. 062 DITMAS,104,2,18979.0,22.75,32.6,19.8,33.1,0.8,13.6,3.59,3.49,4.02,3.79,2.87,3.8,18.4,87.4,21.5,1204.0,3.73,0.44,0.38
P.S./I.S. 104 THE FORT HAMILTON SCHOOL,87,11,17338.0,27.15,20.0,4.3,26.6,2.8,46.2,4.36,4.73,3.78,4.23,3.78,4.04,14.4,64.0,11.4,1265.0,3.25,0.66,0.68
P.S. 163 BATH BEACH,39,7,20799.0,22.73,31.3,1.3,34.8,0.3,32.4,4.46,3.87,3.39,3.75,3.08,3.96,18.6,80.4,22.7,633.0,3.65,0.53,0.54
THE SEEALL ACADEMY,113,38,21016.0,26.2,45.6,0.8,27.3,1.3,25.0,4.02,4.59,4.06,4.52,3.21,4.34,15.1,87.9,30.4,1136.0,3.79,0.6,0.63
THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,251,205,17403.0,27.71,67.5,1.3,6.8,0.6,23.9,4.84,4.48,4.44,4.16,3.74,4.17,11.3,65.8,3.3,873.0,4.36,0.9,0.9
P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,14,0,20869.0,22.85,21.7,1.8,47.1,0.7,28.7,4.36,4.27,3.63,3.75,4.2,3.71,20.8,85.2,31.8,677.0,4.21,0.43,0.4
J.H.S. 201 THE DYKER HEIGHTS,338,101,16042.0,27.16,51.8,0.6,15.4,0.6,31.6,4.33,4.63,4.18,4.04,2.92,4.09,13.4,75.3,9.0,1584.0,4.04,0.7,0.69
J.H.S. 220 JOHN J. PERSHING,181,27,17554.0,22.58,52.5,1.3,41.9,0.1,4.2,2.44,3.02,2.78,3.2,1.55,3.22,14.7,86.1,33.8,1520.0,3.74,0.42,0.45
J.H.S. 223 THE MONTAUK,142,19,18781.0,18.15,62.1,1.8,26.1,0.5,9.5,3.47,3.06,3.17,3.27,2.08,3.64,14.7,97.5,33.6,950.0,3.94,0.46,0.52
J.H.S. 227 EDWARD B. SHALLOW,197,25,18500.0,26.33,59.8,0.5,26.5,0.5,12.7,3.06,3.64,3.42,3.7,2.37,3.83,14.1,92.1,27.7,1506.0,2.76,0.49,0.5
P.S. 229 DYKER,93,20,15882.0,30.24,59.5,1.4,12.0,1.1,25.9,4.5,3.4,3.62,3.13,3.78,3.53,14.1,59.5,11.9,1249.0,3.8,0.69,0.73
J.H.S. 259 WILLIAM MCKINLEY,309,86,16732.0,24.6,44.4,1.2,20.1,0.6,33.6,4.7,4.65,4.03,4.23,2.83,3.93,12.0,80.5,13.1,1852.0,4.07,0.65,0.64
URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,24,1,15834.0,14.79,47.7,16.4,18.3,1.8,15.8,4.36,3.89,3.87,4.12,3.15,4.13,14.4,94.4,14.9,556.0,4.47,0.43,0.37
BROOKLYN SCHOOL OF INQUIRY,80,46,19077.0,34.36,20.0,4.9,4.9,2.8,67.3,4.55,4.07,3.5,3.77,4.09,4.0,6.2,22.4,8.7,566.0,4.61,0.89,0.9
P.S. 095 THE GRAVESEND,12,0,19397.0,25.04,35.1,8.2,35.3,0.7,20.7,4.52,4.77,4.15,4.58,4.17,4.41,17.0,74.2,12.9,943.0,3.85,0.56,0.58
I.S. 096 SETH LOW,114,9,20390.0,21.61,33.4,9.5,26.2,1.3,29.7,3.53,4.5,3.78,4.06,3.59,4.1,22.3,78.3,31.3,779.0,3.81,0.39,0.36
I.S. 98 BAY ACADEMY,372,104,14587.0,27.9,27.3,2.8,8.8,2.6,58.6,4.84,4.61,3.97,4.27,3.09,3.94,9.2,55.0,1.4,1530.0,4.4,0.86,0.86
P.S. 099 ISAAC ASIMOV,17,1,16662.0,27.9,42.2,7.5,17.8,0.8,31.6,4.15,4.14,3.66,4.49,3.77,4.45,12.9,73.7,27.9,876.0,4.01,0.45,0.46
P.S. 121 NELSON A. ROCKEFELLER,7,0,25182.0,18.0,20.2,2.4,42.3,2.1,33.0,4.46,4.55,4.15,4.59,4.02,4.24,27.1,64.3,19.0,336.0,3.97,0.51,0.51
P.S. 209 MARGARET MEAD,33,2,21392.0,23.59,31.5,3.4,24.1,1.0,40.0,3.87,3.69,3.23,3.32,2.82,3.72,26.3,79.5,19.2,733.0,4.03,0.5,0.49
P.S. K225 - THE EILEEN E. ZAGLIN,42,2,22552.0,24.85,19.6,2.0,33.4,1.0,44.0,3.15,2.99,2.18,3.22,1.89,2.9,19.6,76.7,40.9,1011.0,3.47,0.38,0.38
P.S. 226 ALFRED DE B.MASON,44,7,21604.0,24.57,30.5,1.7,29.5,1.0,37.4,4.32,3.68,3.74,3.89,3.64,3.88,15.8,85.7,26.1,1030.0,3.99,0.56,0.55
I.S. 228 DAVID A. BOODY,160,17,19422.0,20.96,28.8,5.3,26.5,1.1,38.4,4.28,3.97,3.59,4.18,2.93,3.58,15.6,79.9,10.5,1311.0,3.76,0.58,0.56
P.S. 238 ANNE SULLIVAN,14,0,28083.0,23.4,20.9,4.1,49.6,1.1,24.2,4.2,3.51,3.12,3.31,2.45,3.53,20.3,81.3,33.1,611.0,3.01,0.37,0.31
MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,336,196,16814.0,30.51,27.8,6.9,5.7,8.2,51.4,4.07,4.5,3.9,3.77,3.49,3.77,11.9,37.7,1.1,1322.0,4.16,0.88,0.88
I.S. 281 JOSEPH B CAVALLARO,171,30,17645.0,25.04,41.0,6.4,24.2,0.4,28.0,3.21,4.07,3.35,3.55,2.0,2.92,18.1,86.9,17.5,1334.0,4.03,0.51,0.47
P.S. 288 THE SHIRLEY TANYHILL,0,0,23296.0,18.79,1.7,59.9,32.1,0.5,5.9,3.25,3.29,2.69,3.07,3.3,3.09,29.4,92.6,6.0,663.0,3.28,0.23,0.19
I.S. 303 HERBERT S. EISENBERG,38,2,19061.0,24.61,21.6,10.2,38.5,0.7,29.0,3.23,3.04,2.66,3.04,2.48,2.52,15.8,77.0,14.1,538.0,3.4,0.42,0.34
KINGSBOROUGH EARLY COLLEGE SCHOOL,15,1,17445.0,14.77,7.5,24.0,29.2,2.1,37.1,4.76,4.83,3.38,4.62,3.78,4.31,18.7,70.8,1.5,657.0,3.86,0.49,0.4
BROOKLYN STUDIO SECONDARY SCHOOL,19,1,16564.0,11.79,21.4,3.5,29.2,1.3,44.6,3.58,3.55,3.3,3.41,2.16,3.09,19.7,75.9,15.7,942.0,3.73,0.45,0.41
J.H.S. 014 SHELL BANK,41,2,26293.0,18.6,14.9,38.9,16.6,1.7,28.0,4.0,3.8,2.99,4.04,3.08,3.9,24.8,91.2,24.4,525.0,3.29,0.35,0.28
J.H.S. 078 ROY H. MANN,35,2,20043.0,21.76,6.9,70.2,9.2,1.6,12.2,4.1,3.91,3.88,4.06,3.72,4.14,26.1,84.7,6.7,567.0,2.33,0.43,0.3
P.S. 109,12,0,26143.0,16.9,1.8,80.0,14.5,1.3,2.3,2.33,2.09,2.51,2.68,2.48,2.62,24.2,86.5,6.0,681.0,3.39,0.38,0.32
P.S. 206 JOSEPH F LAMB,51,9,16572.0,27.05,47.6,1.6,9.6,1.5,39.6,3.84,4.36,3.71,3.78,3.7,3.61,12.4,73.3,22.6,1505.0,3.48,0.62,0.66
P.S. 207 ELIZABETH G. LEARY,43,2,16136.0,27.06,12.3,33.9,15.6,2.1,36.2,3.52,4.41,3.56,3.79,4.09,3.7,19.0,50.7,4.3,1228.0,3.13,0.63,0.63
J.H.S. 234 ARTHUR W. CUNNINGHAM,370,79,14816.0,29.57,24.4,16.8,13.0,1.6,44.3,3.94,4.31,3.31,3.57,3.44,3.35,14.3,71.1,9.8,1907.0,3.55,0.65,0.62
ANDRIES HUDDE,74,2,18569.0,20.82,18.6,58.0,13.6,1.3,8.5,2.34,1.9,2.3,2.33,2.99,2.67,17.6,85.2,13.7,743.0,2.95,0.42,0.31
J.H.S. 278 MARINE PARK,98,7,19460.0,22.88,10.0,42.6,17.3,2.3,27.8,4.31,4.36,3.27,3.57,3.62,3.27,17.7,70.2,4.9,1106.0,3.4,0.58,0.47
I. S. 381,30,2,20669.0,23.5,9.0,52.5,20.1,2.0,16.4,4.39,4.8,3.73,4.33,3.97,4.2,18.4,68.9,15.6,244.0,4.0,0.47,0.36
P.S. 041 FRANCIS WHITE,0,0,30531.0,21.69,0.4,60.0,31.3,5.0,3.3,3.4,3.29,2.77,3.31,2.65,3.57,32.6,98.2,7.7,457.0,3.01,0.22,0.18
P.S./I.S. 137 RACHEL JEAN MITCHELL,9,0,27591.0,14.7,0.0,74.9,19.5,4.3,1.3,2.78,3.2,3.16,3.23,4.24,4.16,28.1,93.1,4.3,303.0,3.33,0.32,0.27
P.S./ I.S. 155 NICHOLAS HERKIMER,8,0,21314.0,21.29,2.9,51.2,43.5,1.0,1.4,3.57,3.15,2.9,3.32,3.64,3.94,21.9,97.1,16.1,416.0,3.07,0.31,0.28
P.S. 178 SAINT CLAIR MCKELWAY,0,0,22970.0,18.0,1.9,75.3,18.0,1.6,3.2,3.42,4.03,2.78,4.02,3.98,4.49,18.8,88.1,5.6,377.0,2.68,0.35,0.3
P.S. 184 NEWPORT,0,0,21675.0,20.39,0.2,71.8,26.5,0.9,0.7,3.33,3.0,2.83,3.2,3.6,3.25,26.6,90.8,4.1,567.0,2.43,0.25,0.21
"THE GREGORY JOCKO JACKSON SCHOOL OF SPORTS, ART, AND TECHNOLOGY",9,0,20515.0,20.96,0.0,66.2,32.7,0.4,0.6,2.66,3.16,2.8,3.34,4.24,3.69,27.0,93.9,9.5,474.0,3.24,0.27,0.22
P.S./I.S. 323,10,0,22362.0,26.53,1.2,77.5,20.2,0.9,0.2,4.04,4.36,2.8,3.73,3.95,3.64,17.0,93.1,3.3,569.0,2.23,0.3,0.24
P.S. 327 DR. ROSE B. ENGLISH,9,0,22383.0,21.2,1.2,66.4,28.7,1.5,2.1,3.11,3.56,2.76,3.25,3.12,3.38,24.2,97.6,9.2,327.0,2.17,0.22,0.2
BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,0,0,23663.0,13.33,0.0,65.7,30.6,2.8,0.9,2.98,3.13,3.34,2.29,3.44,3.08,35.2,90.7,9.3,108.0,3.01,0.26,0.15
I.S. 392,46,2,18977.0,22.17,4.1,74.9,15.6,4.7,0.7,3.54,3.89,3.65,4.45,4.03,3.97,16.6,74.6,0.7,295.0,2.79,0.65,0.57
KAPPA V (KNOWLEDGE AND POWER PREPARATORY ACADEMY),20,1,22828.0,19.42,0.0,87.7,9.2,2.6,0.4,2.78,3.58,2.32,3.82,3.55,3.31,30.7,82.0,1.3,228.0,2.49,0.31,0.2
MOTT HALL IV,9,0,19842.0,17.0,1.3,85.6,12.5,0.6,0.0,3.03,3.21,3.65,3.44,4.04,4.54,38.1,89.4,1.9,160.0,3.33,0.24,0.15
EAGLE ACADEMY FOR YOUNG MEN II,12,0,19182.0,16.03,0.6,88.7,8.3,1.7,0.6,3.63,3.99,4.32,4.5,4.52,4.64,25.5,80.1,0.6,647.0,3.6,0.31,0.19
BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),12,0,29372.0,17.33,0.0,73.7,18.9,2.1,5.3,3.58,3.83,3.37,4.06,4.1,4.47,40.0,97.9,6.3,95.0,3.57,0.26,0.15
RIVERDALE AVENUE MIDDLE SCHOOL,6,0,36825.0,16.33,3.9,74.0,18.1,2.4,1.6,3.44,3.26,3.41,3.34,4.26,3.28,39.4,96.9,12.6,127.0,3.03,0.2,0.15
MOTT HALL BRIDGES ACADEMY,10,0,22732.0,17.75,1.0,82.9,15.6,0.0,0.5,3.78,3.91,3.99,4.35,4.09,4.15,25.6,94.5,0.0,199.0,3.89,0.27,0.18
TEACHERS PREPARATORY HIGH SCHOOL,0,0,17817.0,9.96,2.0,75.6,17.6,0.8,4.0,2.62,3.18,2.89,3.01,3.35,3.14,34.4,88.0,6.8,250.0,2.45,0.23,0.15
I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,264,40,19737.0,24.18,43.7,1.6,51.7,0.9,2.2,3.75,3.97,3.43,3.05,2.25,3.5,17.0,78.6,16.6,1798.0,3.75,0.57,0.55
